Ontology ID,label,has curation status,alternative term,definition,definition source,example of usage,editor note,ontology term requester,term tracker item,logical type,parent class
,OME TIFF,,OME TIFF format | OME TIFF file format,A format for storing microscopy imaging data created to maximize the respective strengths of OME-XML and TIFF. It takes advantage of metadata defined in OME-XML while retaining the pixels in multi-page TIFF format for compatibility with many more applications.,https://docs.openmicroscopy.org/ome-model/5.6.3/ome-tiff/,,"An OME-TIFF dataset has the following characteristics: Image planes are stored within one multi-page TIFF file, or across multiple TIFF files. Any image organization is feasible. A complete OME-XML metadata block describing the dataset is embedded in each TIFF file’s header. Thus, even if some of the TIFF files in a dataset are misplaced, the metadata remains intact. The OME-XML metadata block may contain anything allowed in a standard OME-XML file. OME-TIFF uses the standard TIFF mechanism for storing one or more image planes in each of the constituent files, instead of encoding pixels as base64 chunks within the XML. Since TIFF is an image format, it makes sense to only use OME-TIFF as opposed to OME-XML, when there is at least one image plane.",,,,
,mex,,.mex file | .mex file format | Market Exchange file format,A format that is used to represent the gene-barcode matrix output by Cell Ranger. This is a sparse matrix format because the matrix for UMI counts for each barcode/gene pair are very large (~35K genes vs hundreds of thousands of barcodes) and most entries are 0.,https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/output/matrices,,,,,,
,scn,,.scn file | .scn file format,"A format that is used in digital pathology, which is a proprietary format used by Leica Biosystems scanners to store whole slide images (WSIs). A .scn file is a single-file format based on BigTIFF, containing the slide's image pyramid and metadata in an XML text field. This format allows for the efficient storage and viewing of high-resolution digital slides for pathological analysis and is used on equipment like the Leica Versa 200 scanner. ",https://openslide.org/formats/leica/,,"The ImageDescription tag of the first TIFF directory contains an XML document that defines the structure of the slide. Leica slides are structured as a collection of images, each of which has multiple dimensions (pyramid levels). The collection has a size, and images have a size and position, measured in nanometers. Each dimension has a size in pixels, an optional focal plane number, and a TIFF directory containing the image data. Fluorescence images have different dimensions (and thus different TIFF directories) for each channel. OpenSlide currently rejects fluorescence images and ignores focal planes other than plane 0. Brightfield slides have at least two images: a low-resolution macro image and one or more main images corresponding to regions of the macro image. The macro image has a position of (0, 0) and a size matching the size of the collection. Fluorescence slides can have two macro images: one brightfield and one fluorescence. The slide provides enough information to composite the various images, including the macro image, into a single pyramid. However, there are some complications:",,,,
,docx,,.docx file | .docx file format,"A format that is used as the default, modern Microsoft Word document format that uses Office Open XML (OOXML), a zipped archive of XML files that supports rich features like formatting, images, and tables.",https://www.lenovo.com/us/en/glossary/docx/?orgRef=https%253A%252F%252Fwww.google.com%252F&srsltid=AfmBOooZ5CePyciVwN9IRRKczdugjrZLXC37Ey9nqf-q_n1-YYdOZ3ib,,"The content of a DOCX file is stored as a collection of individual XML files, which are then compressed into a single ZIP archive.",,,,
,PDF,,.pdf file | Portable Document Format,"A format that is used to present documents, including text formatting and images, in a manner independent of application software, hardware, and operating systems. Portable Document Format (PDF), standardized as ISO 32000, is a file format developed by Adobe in 1992. Based on the PostScript language, each PDF file encapsulates a complete description of a fixed-layout flat document, including the text, fonts, vector graphics, raster images and other information needed to display it. ",https://en.wikipedia.org/wiki/PDF,,"PDF files may contain a variety of content besides flat text and graphics including logical structuring elements, interactive elements such as annotations and form-fields, layers, rich media (including video content), three-dimensional objects using U3D or PRC, and various other data formats. The PDF specification also provides for encryption and digital signatures, file attachments, and metadata to enable workflowsrequiring these features.",,,,
,PNG,,.png file | Portable Network Graphics file format,"A format that is a raster-graphics file format that supports lossless data compression. Portable Network Graphics (PNG) was developed as an improved, non-patented replacement for Graphics Interchange Format (GIF). ",https://en.wikipedia.org/wiki/PNG,,"PNG supports palette-based images (with palettes of 24-bit RGB or 32-bit RGBA colors), grayscale images (with or without an alpha channel for transparency), and full-color non-palette-based RGB or RGBA images. The PNG working group designed the format for transferring images on the Internet, not for professional-quality print graphics; therefore, non-RGB color spaces such as CMYK are not supported. A PNG file contains a single image in an extensible structure of chunks, encoding the basic pixels and other information such as textual comments and integrity checks documented in RFC 2083. PNG files have the "".png"" file extension and the ""image/png"" MIME media type.",,,,
,tar,,.tar file | tarball,"A format that is an archive file format for bundling multiple files and directories into a single file, often on Unix-like systems, to simplify backups and distribution. Unlike compressed archives, a tar file does not compress its contents by default. Instead, it stores files with their metadata (like permissions and timestamps) in a linear format, and it is often compressed later using utilities like gzip and bzip2. These are often called ""tar file,"" or ""tarball,"".",https://en.wikipedia.org/wiki/Tar_(computing),,,,,,
,gb,,GenBank file format | gb file format,"A format that is a standard plain-text format used for storing biological sequence information, such as DNA, RNA and protein sequences, along with associated metadata. It is commonly used in bioinformatics and molecular biology for the exchange and storage of genetic information.",https://docs.fileformat.com/data/gb/,,"Gen Bank file format has the following sections: Header Information: The file begins with a header section that provides information about sequence and its source; this includes details such as accession number, organism, and references to literature where sequence data was published. Features Section: Following the header, there is a features section that describes various features of sequence, such as genes, coding regions, regulatory elements and other important locations; each feature is annotated with specific information, such as its location on sequence, type of feature and additional qualifiers. Sequence Data: The actual sequence data follows features section; this section contains raw genetic information in form of nucleotide or amino acid sequences. The sequence data is typically presented in standardized format with line breaks for readability. Format Tags: GenBank files use specific tags and keywords to structure the information; these tags help define different sections of file and provide a standardized way for software programs to interpret and parse the data. Annotation: GenBank files include extensive annotations that provide information about biological significance of different regions in the sequence; this can include details about coding regions, protein products and functional annotations. Origin Line: The sequence data is often terminated by an “ORIGIN” line, which indicates beginning of sequence and is followed by actual nucleotide or amino acid sequence.",,,,
,jpg,,JPEG,A format that is a type of image format that is saved using the method of lossy compression.,https://docs.fileformat.com/image/jpeg/,,"The output image, as result of compression, is a trade-off between storage size and image quality. Users can adjust the compression level to achieve the desired quality level while at the same time reduce the storage size. Image quality is negligibly affected if 10:1 compression is applied to the image. The higher the compression value, the higher the degradation in image quality.",,,,
,directory,,dir,"A ""directory file format"" isn't one standard, but refers to the underlying file system's internal structure that organizes files and other directories, containing entries like inode numbers and names in Unix-like systems, or a similar mapping structure in others like FAT or NTFS. Directories, also known as folders, are special files themselves that store lists of pointers to other files and directories, enabling a hierarchical, tree-like structure for organizing data on a storage device.",,,,,,,
,bmp,,bitmap | BMP file format,"A format that is a raster graphics image file format used to store bitmap digital images, independently of the display device (such as a graphics adapter), especially on Microsoft Windows and OS/2 operating systems.",https://en.wikipedia.org/wiki/BMP_file_format,,"The BMP file format is capable of storing two-dimensional digital images in various color depths, and optionally with data compression, alpha channels, and color profiles. The Windows Metafile (WMF) specification covers the BMP file format.",,,,
,fasta,,FASTA | FASTA format,"A format that is a text-based format for representing either nucleotide sequences or amino acid (protein) sequences, in which nucleotides or amino acids are represented using single-letter codes.",https://en.wikipedia.org/wiki/FASTA_format,,"The format allows for sequence names and comments to precede the sequences. It originated from the FASTA software package and has since become a near-universal standard in bioinformatics. A sequence begins with a greater-than character ("">"") followed by a description of the sequence (all in a single line). The lines immediately following the description line are the sequence representation, with one letter per amino acid or nucleic acid, and are typically no more than 80 characters in length.",,,,
,gz,,GZ file | GZ file format,"A format that is a compressed archive created using the standard gzip (GNU zip) compression algorithm. A GZ File may contain multiple compressed files, directories and file stubs. This format was initially developed to replace compression formats on UNIX systems. and is still one of the most common archive types on Linux systems. ",https://docs.fileformat.com/compression/gz/,,Gzip uses the DEFLATE algorithm for compression of archive and differs from the ZIP archive format in applying the compression algorithm on complete archive rather than individual files.,,,,
,javascript,,js | JavaScript | JavaScript format,"A format that contains JavaScript code for execution on web pages. JavaScript files are stored with the .js extension. Inside the HTML document, you can either embed the JavaScript code using the <script></script> tags or include a JS file. Similar to CSS files, JS files can be included in multiple HTML documents for code reusability.",https://docs.fileformat.com/web/js/,,,,,,
,svg,,svg file | Scalar Vector Graphics | svg file format,A format that uses XML based text format for describing the appearance of an image (Scalar Vector Graphics file). ,https://docs.fileformat.com/page-description-language/svg/,,"The word 'Scalable' refers to the fact that the SVG can be scaled to different sizes without losing any quality. Text-based description of such files makes them independent of resolution. It is one of the most used formats for building a website and print graphics in order to achieve scalability. The format can only be used for two-dimensional graphics though. SVG files can be viewed/opened in almost all modern browsers including Chrome, Internet Explorer, Firefox, and Safari.",,,,
,txt,,text file | flat file | text file format,A format that is structured as a sequence of lines of electronic text. A text file (sometimes spelled textfile; an old alternative name is flat file) exists stored as data within a computer file system.,https://en.wikipedia.org/wiki/Text_file,,,,,,
,parquet,,Apache Parquet | parquet file,"A format that is a free and open-source column-oriented data storage format in the Apache Hadoop ecosystem. It is similar to RCFile and ORC, the other columnar-storage file formats in Hadoop, and is compatible with most of the data processing frameworks around Hadoop. It provides efficient data compression and encoding schemes with enhanced performance to handle complex data in bulk.",https://en.wikipedia.org/wiki/Apache_Parquet,,,,,,
,zip,,ZIP | zip file,"A format (archive file format) that supports lossless data compression. A ZIP file may contain one or more files or directories that may have been compressed. The ZIP file format permits a number of compression algorithms, though DEFLATE is the most common.",https://en.wikipedia.org/wiki/ZIP_(file_format),,,,,,
,xslx,,xslx file | XSLX,"A format Microsoft Excel documents that was introduced by Microsoft with the release of Microsoft Office 2007. Based on structure organized according to the Open Packaging Conventions as outlined in Part 2 of the OOXML standard ECMA-376, the format is a zip package that contains a number of XML files. The underlying structure and files can be examined by simply unzipping the .xlsx file.",https://docs.fileformat.com/spreadsheet/xlsx/,,,,,,
